gene_id,sample1,sample2,sample3,sample4,sample5,sample6
gene-MIR6859-1|MIR6859-1,0,0,0,0,0,0
rna-NR_106918.1|MIR6859-1,0,0,0,0,0,0
gene-MIR1302-2HG|MIR1302-2HG,0,7,4,2,1,0
rna-NR_036051.1|MIR1302-2,0,1,0,0,0,0
gene-FAM138A|FAM138A,0,0,3,0,0,0
gene-DDX11L1|DDX11L1,2121,474,895,1251,741,278
gene-WASH7P|WASH7P,26,40,32,17,9,27
gene-MIR1302-2|MIR1302-2,1,1,0,0,0,0
gene-LOC124903816|LOC124903816,3,57,23,6,5,2
gene-LOC124900384|LOC124900384,5,40,25,4,4,1
gene-LOC124903814|LOC124903814,0,6,2,0,1,0
gene-MIR6859-2|MIR6859-2,0,0,0,0,0,0
rna-NR_107062.1|MIR6859-2,0,0,0,0,0,0
gene-LOC127239154|LOC127239154,9,57,15,5,2,0
gene-LOC124903815|LOC124903815,4,17,14,8,2,1
gene-SEPTIN14P18|SEPTIN14P18,2,23,13,1,1,0
gene-LOC729737|LOC729737,18,542,154,7,22,5
gene-DDX11L17|DDX11L17,4032,669,890,1294,731,329
gene-WASH9P|WASH9P,26,59,40,17,11,24
gene-RPL23AP21|RPL23AP21,15,409,4,896,187,7
gene-RPL23AP24|RPL23AP24,4,76,3,152,32,1
gene-LOC124900618|LOC124900618,0,6,2,0,0,0
gene-SEPTIN14P13|SEPTIN14P13,1,5,3,1,1,0
gene-LOC100132287|LOC100132287,4,84,49,3,5,2
gene-LOC124904706|LOC124904706,0,1,1,0,0,0
gene-LOC105378947|LOC105378947,0,0,0,2,2,0
gene-WBP1LP6|WBP1LP6,0,0,0,0,0,0
gene-OR4F16|OR4F16,3,15,12,2,2,1
gene-LOC101928626|LOC101928626,2,7,2,0,0,0
gene-MIR12136|MIR12136,3575,1682,1351,1102,1309,708
rna-NR_162149.1|MIR12136,1,1,1,1,1,1
gene-SEPTIN14P14|SEPTIN14P14,3,18,11,3,3,1
gene-LOC100288069|LOC100288069,7,119,72,3,8,4
gene-LOC124903817|LOC124903817,0,89,14,8,0,0
gene-LINC01409|LINC01409,2,3,7,0,2,0
gene-LINC00115|LINC00115,6,10,34,4,5,0
gene-LOC107984850|LOC107984850,0,1,10,0,0,0
gene-FAM41C|FAM41C,0,4,6,7,1,0
gene-TUBB8P11|TUBB8P11,0,0,0,0,0,0
gene-LOC284600|LOC284600,0,29,0,0,0,0
gene-LINC02593|LINC02593,0,0,0,0,0,0
gene-LOC107985728|LOC107985728,0,0,0,0,0,0
gene-SAMD11|SAMD11,0,0,0,0,0,0
gene-NOC2L|NOC2L,0,208,115,26,0,0
gene-HES4|HES4,7,122,86,6,5,452
gene-AGRN|AGRN,3,0,0,0,0,0
gene-LOC100288175|LOC100288175,0,11,0,0,0,0
gene-LOC105378948|LOC105378948,0,0,0,0,0,0
gene-RNF223|RNF223,0,0,0,0,0,0
gene-C1orf159|C1orf159,26,21,8,11,0,0
gene-ISG15|ISG15,31,180,124,34,14,641
gene-TTLL10-AS1|TTLL10-AS1,0,6,13,0,0,0
gene-TTLL10|TTLL10,0,0,3,0,0,0
gene-TNFRSF18|TNFRSF18,0,70,23,0,0,0
gene-TNFRSF4|TNFRSF4,3,50,0,0,0,0
gene-SDF4|SDF4,202,469,524,113,94,0
gene-B3GALT6|B3GALT6,19,100,103,3,3,2
gene-UBE2J2|UBE2J2,118,431,270,105,43,0
gene-ACAP3|ACAP3,42,106,190,9,14,4
gene-MIR6726|MIR6726,0,1,0,0,0,0
rna-NR_106784.1|MIR6726,0,1,0,0,0,0
gene-SNORD167|SNORD167,0,0,0,0,0,0
gene-PUSL1|PUSL1,0,17,10,0,0,0
gene-INTS11|INTS11,71,403,174,58,29,114
gene-MIR6727|MIR6727,0,0,0,0,0,0
rna-NR_106785.1|MIR6727,0,0,0,0,0,0
gene-CPTP|CPTP,63,43,106,35,40,94
gene-TAS1R3|TAS1R3,0,0,0,4,0,0
gene-DVL1|DVL1,8,51,38,0,0,0
gene-MIR6808|MIR6808,0,0,0,0,0,0
rna-NR_106866.1|MIR6808,0,0,0,0,0,0
gene-AURKAIP1|AURKAIP1,106,383,260,116,30,276
gene-CCNL2|CCNL2,8,669,570,27,23,127
gene-MRPL20-AS1|MRPL20-AS1,13,60,46,15,8,0
gene-MRPL20|MRPL20,44,285,290,24,10,135
gene-MRPL20-DT|MRPL20-DT,1,20,2,5,0,2
gene-ATAD3C|ATAD3C,0,11,0,3,0,0
gene-ATAD3B|ATAD3B,0,76,43,4,6,0
gene-ATAD3A|ATAD3A,0,79,23,0,0,0
gene-TMEM240|TMEM240,0,0,0,0,0,0
gene-LOC105378586|LOC105378586,0,7,0,0,0,0
gene-MIB2|MIB2,106,142,212,86,41,250
gene-LOC124903821|LOC124903821,0,87,123,4,0,0
gene-MMP23B|MMP23B,0,0,40,0,3,5
gene-CDK11B|CDK11B,31,486,275,23,18,42
gene-LOC100288379|LOC100288379,0,0,3,0,4,0
gene-MMP23A|MMP23A,0,0,23,0,0,4
gene-CDK11A|CDK11A,49,572,206,8,0,16
gene-LOC100129381|LOC100129381,0,0,0,0,3,0
gene-LOC112268218|LOC112268218,0,6,5,0,0,0
gene-NADK|NADK,77,529,459,20,31,12
gene-GNB1|GNB1,5366,2369,2428,3376,1627,262
gene-SSU72|SSU72,414,912,582,308,95,58
gene-FNDC10|FNDC10,121,72,101,55,14,0
gene-SLC35E2B|SLC35E2B,314,356,340,186,78,5
gene-SLC35E2A|SLC35E2A,229,337,321,126,41,5
gene-GABRD|GABRD,185,0,5,43,10,0
gene-LOC105378590|LOC105378590,0,0,0,0,0,0
gene-PRKCZ|PRKCZ,0,18,39,0,0,0
gene-PRKCZ-DT|PRKCZ-DT,0,0,0,0,0,0
gene-PRKCZ-AS1|PRKCZ-AS1,0,0,3,0,0,0
gene-FAAP20|FAAP20,139,302,395,129,118,145
gene-LOC112268219|LOC112268219,0,6,4,6,0,0
gene-LOC105378593|LOC105378593,0,6,0,0,0,0
gene-LOC124903823|LOC124903823,0,0,0,0,0,7
gene-SKI|SKI,52,62,44,28,23,8
gene-MORN1|MORN1,9,30,4,0,0,2
gene-LOC100129534|LOC100129534,0,0,0,0,0,0
gene-PEX10|PEX10,27,8,0,26,0,0
gene-RER1|RER1,310,729,401,374,221,66
gene-PLCH2|PLCH2,0,29,3,0,0,0
gene-PANK4|PANK4,15,51,31,4,0,0
gene-TNFRSF14|TNFRSF14,67,357,198,60,33,0
gene-TNFRSF14-AS1|TNFRSF14-AS1,6,17,0,4,2,0
gene-LOC100996583|LOC100996583,3,9,0,5,2,0
gene-PRXL2B|PRXL2B,137,58,100,100,51,113
gene-MMEL1|MMEL1,0,4,0,0,0,0
gene-MMEL1-AS1|MMEL1-AS1,0,5,3,0,2,0
gene-MEGF6|MEGF6,2,85,52,0,11,0
gene-LOC105378608|LOC105378608,0,0,0,0,0,0
gene-MIR551A|MIR551A,0,0,0,0,0,0
rna-NR_030277.1|MIR551A,0,0,0,0,0,0
gene-WRAP73|WRAP73,0,114,112,16,0,0
gene-TPRG1L|TPRG1L,640,211,386,420,152,227
gene-TP73|TP73,0,14,20,0,0,0
gene-TP73-AS3|TP73-AS3,0,0,0,0,0,0
gene-TP73-AS2|TP73-AS2,0,0,0,0,0,0
gene-GFOD3P|GFOD3P,0,24,116,3,0,0
gene-CCDC27|CCDC27,0,0,0,0,0,0
gene-SMIM1|SMIM1,43,12,17,23,0,15
gene-LRRC47|LRRC47,108,289,143,59,18,81
gene-CEP104|CEP104,84,156,98,146,25,0
gene-LOC124903829|LOC124903829,0,0,53,7,0,0
gene-DFFB|DFFB,16,69,53,3,5,0
gene-LINC01134|LINC01134,0,0,6,0,0,0
gene-LINC01346|LINC01346,0,0,0,0,0,0
gene-LINC01345|LINC01345,0,0,0,0,0,0
gene-C1orf174|C1orf174,218,365,146,195,48,108
gene-LOC105376674|LOC105376674,0,0,0,0,0,0
gene-LINC01646|LINC01646,0,6,9,0,0,0
gene-NPHP4|NPHP4,0,19,20,0,0,0
gene-KCNAB2|KCNAB2,28,361,339,28,22,137
gene-LOC124903831|LOC124903831,0,0,0,0,0,0
gene-CHD5|CHD5,0,0,0,0,0,0
gene-RPL22|RPL22,87,1149,894,61,35,43
gene-RNF207-AS1|RNF207-AS1,0,0,0,0,0,0
gene-RNF207|RNF207,6,57,5,0,0,0
gene-ICMT|ICMT,104,81,198,49,6,0
gene-ICMT-DT|ICMT-DT,0,10,0,0,0,0
gene-HES3|HES3,0,0,0,0,0,0
gene-GPR153|GPR153,0,0,21,0,0,0
gene-ACOT7|ACOT7,731,336,299,597,192,35
gene-ESPN|ESPN,0,0,0,0,0,0
gene-MIR4252|MIR4252,0,2,0,0,0,0
rna-NR_036218.1|MIR4252,0,1,0,0,0,0
gene-TNFRSF25|TNFRSF25,0,157,78,2,0,0
gene-NOL9|NOL9,0,100,114,7,0,0
gene-ZBTB48|ZBTB48,17,157,83,0,0,56
gene-KLHL21|KLHL21,0,95,115,28,11,0
gene-PHF13|PHF13,22,10,41,35,4,0
gene-THAP3|THAP3,0,75,91,0,0,0
gene-DNAJC11|DNAJC11,0,136,134,0,6,245
gene-LINC01672|LINC01672,1,9,4,0,0,0
gene-CAMTA1-DT|CAMTA1-DT,0,0,10,0,0,0
gene-CAMTA1|CAMTA1,5377,3313,2617,3060,2662,1696
gene-RPL37P9|RPL37P9,0,0,0,0,0,0
gene-CAMTA1-AS3|CAMTA1-AS3,0,0,0,0,0,0
gene-CAMTA1-AS2|CAMTA1-AS2,1,0,0,2,0,0
gene-CAMTA1-AS1|CAMTA1-AS1,0,0,0,0,0,0
gene-LOC105376691|LOC105376691,0,1,0,0,0,0
gene-LOC105376689|LOC105376689,0,15,2,0,0,2
gene-LOC124903832|LOC124903832,27,308,302,20,9,25
gene-CAMTA1-IT1|CAMTA1-IT1,26,7,0,0,1,5
gene-VAMP3|VAMP3,445,580,353,326,191,164
gene-PER3|PER3,0,145,25,0,8,0
gene-LOC124903833|LOC124903833,27,0,37,3,0,0
gene-LOC124903834|LOC124903834,0,3,12,0,5,0
gene-PARK7|PARK7,4988,2973,1939,5607,1647,2519
